类型,应用,地址信息,备注,,,,,,,,,,,,,,,,,,,,,,,
公共组件,nacos,http://192.168.13.10:8848/nacos     没有密码,"部署目录：/data1/semptian/service/nacos
启动命令：./data1/semptian/service/nacos/bin/startup.sh  -m standalone
关闭命令： ./data1/semptian/service/nacos/bin/shutdown.sh",,,,,,,,,,,,,,,,,,,,,,,
,"文件服务
",192.168.13.10:9100/filecenter," 部署目录：/data1/semptian/service/deye-common-filecenter-v6.4.0.1
启动命令：sh /data1/semptian/service/deye-common-filecenter-v6.4.0.1/bin/start.sh
关闭命令：sh  /data1/semptian/service/deye-common-filecenter-v6.4.0.1/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,"消息服务
",192.168.13.10:9200/message," 部署目录：/data1/semptian/service/deye-common-message-v6.4.4
启动命令：sh /data1/semptian/service/deye-common-message-v6.4.4/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-common-message-v6.4.4/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,代理服务,192.168.13.10:8099," 部署目录：/data1/semptian/service/deye-common-proxy-v6.4.0.1
启动命令：sh /data1/semptian/service/deye-common-proxy-v6.4.0.1/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-common-proxy-v6.4.0.1/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,调度中心,http://192.168.13.6:9080/job-admin     admin/123456," 部署目录：/data1/semptian/service/de-job-admin-6.4.0
启动命令：sh /data1/semptian/service/de-job-admin-6.4.0/bin/start.sh
关闭命令：sh /data1/semptian/service/de-job-admin-6.4.0/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,调度中心执行器,192.168.13.6:9997," 部署目录：/data1/semptian/service/deye-common-job-executor-6.4.0
启动命令：sh /data1/semptian/service/deye-common-job-executor-6.4.0/bin/start.sh
关闭命令:  sh /data1/semptian/service/deye-common-job-executor-6.4.0/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,文件预览服务,http://192.168.13.10:8012/," 部署目录：/data1/semptian/service/kkFileView-4.3.0
启动命令：./data1/semptian/service/kkFileView-4.3.0/bin/startup.sh
关闭命令：./data1/semptian/service/kkFileView-4.3.0/bin/shutdown.sh",,,,,,,,,,,,,,,,,,,,,,,
,nginx,"ip:  192.168.13.10
NF信息中心使用：192.168.13.13-17"," 部署目录：/opt/nginx-1.10.3
启动命令：systemctl start nginx
关闭命令：systemctl stop nginx
配置文件重新加载：systemctl reload nginx",,,,,,,,,,,,,,,,,,,,,,,
,资源库服务,192.168.13.10:8866," 部署目录：/data1/semptian/service/deye-resource-web-v6.4.0.0
启动命令：sh /data1/semptian/service/deye-resource-web-v6.4.0.0/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-resource-web-v6.4.0.0/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,播放器,192.168.13.10:8080/de-audio-player," 部署目录：/data1/semptian/service/deye-audio-player-v6.4.6.02
启动命令：sh /data1/semptian/service/deye-audio-player-v6.4.6.02/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-audio-player-v6.4.6.02/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,维度服务,192.168.13.10:8055/ads_dimension," 部署目录：/data1/semptian/service/deye-ads-dimension-web-v6.4.0.1
启动命令：sh /data1/semptian/service/deye-ads-dimension-web-v6.4.0.1/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-ads-dimension-web-v6.4.0.1/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,网关,192.168.13.10:8040," 部署目录：/data1/semptian/service/deye-common-zuul-v6.4
启动命令：sh /data1/semptian/service/deye-common-zuul-v6.4/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-common-zuul-v6.4/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,日志服务,192.168.13.9:9300/log," 部署目录：/data1/semptian/service/deye-common-log-v6.4.0.1
启动命令：sh /data1/semptian/service/deye-common-log-v6.4.0.1/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-common-log-v6.4.0.1/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
综合搜索,综合搜索web,192.168.13.7:8089/search-web," 部署目录：/data1/semptian/service/deye-search-web-v6.4.1.01
启动命令：sh /data1/semptian/service/deye-search-web-v6.4.1.01/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-search-web-v6.4.1.01/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,搜索kernel,192.168.13.7:8077/search_kernel," 部署目录：/data1/semptian/service/deye-search-kernel-web-v7.15.2.15
启动命令：sh /data1/semptian/service/deye-search-kernel-web-v7.15.2.15/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-search-kernel-web-v7.15.2.15/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,综合搜索前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
