局点,hostname,ip,环境信息,对接设备IP（NFS或者FTP）,对接设备目录地址,,,
MC（A-1）,rm-dca-s1（mobileradius，M运营商）,192.168.13.75,"部署路径：/data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-mobileradiusmapping
启动路径：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-mobileradiusmapping/bin/start.sh
停止命令：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-mobileradiusmapping/bin/stop.sh
侦听目录：/data/semptian/data/mobile",,,,,
MC（A-1）,rm-dca-s1（mobileradius，O运营商）,192.168.13.75,"部署路径：/data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-mobileradiusmapping_ooredoo
启动路径：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-mobileradiusmapping_ooredoo/bin/start.sh
停止命令：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-mobileradiusmapping_ooredoo/bin/stop.sh
侦听目录：/data/semptian/data/ooredoo_mobile",,,,,
MC（A-1）,rm-dca-s1（mobileradius，D运营商）,192.168.13.75,"部署路径：/data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-mobileradiusmapping_dz
启动路径：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-mobileradiusmapping_dz/bin/start.sh
停止命令：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-mobileradiusmapping_dz/bin/stop.sh
侦听目录：/data/semptian/data/dz_mobile",,,,,
MC（A-1）,rm-dca-s1（radius）,192.168.13.75,"部署路径：/data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-radiusmapping
启动路径：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-radiusmapping/bin/start.sh
停止命令：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-radiusmapping/bin/stop.sh
侦听目录：/data/semptian/data/fixed",,,,,
MC（A-1）,svm-dca-s1（fax）,192.168.13.76,"部署路径：/data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-fax
启动路径：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-fax/bin/start.sh
停止命令：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-fax/bin/stop.sh
侦听目录：/data/semptian/data/fax/",,,,,
MC（A-1）,svm-dca-s1（voip-call）,192.168.13.76,"部署路径：/data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-callvoip
启动路径：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-callvoip/bin/start.sh
停止命令：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-callvoip/bin/stop.sh
侦听目录：/data/semptian/data/voip-call",,,,,
MC（A-1）,svm-dca-s1（voip容灾-fax）,192.168.13.76,"部署路径：/data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-dr-fax/
启动路径：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-dr-fax/bin/start.sh
停止命令：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-dr-fax/bin/stop.sh
侦听目录：/data/semptian/data_dr/fax",,,,,
MC（A-1）,svm-dca-s1（voip容灾-voip-call）,192.168.13.76,"部署路径：/data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-dr-callvoip
启动路径：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-dr-callvoip/bin/start.sh
停止命令：sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-dr-callvoip/bin/stop.sh
侦听目录：/data/semptian/data_dr/voip-call",,,,,
MC（A-1）,"a1nf-atdca-s1到a1nf-atdca-s5
NF行为和安全日志采集适配器+压缩服务+解析服务","192.168.13.54到
192.168.13.58","部署路径：/data/semptian/
启动路径：
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-compress-v6.2.3.6/bin/start.sh
停止命令：
sh /data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20/bin/stop.sh
sh /data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11/bin/stop.sh
sh /data/semptian/deye-dataprotocol-file-compress-v6.2.3.6/bin/stop.sh
侦听目录：/data/semptian/data/dc_log",,,,,
MC（A-1）,"dpa-b1nf-s1到dpa-b1nf-s2
B1局点NF解析适配器",192.168.13.54、192.168.13.55,"部署路径：/data/semptian/nf
启动路径：
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11-nf-action/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11-nf-statics/bin/start.sh
停止命令：
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11-nf-action/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-analysis-v6.2.3.11-nf-statics/bin/stop.sh
侦听目录：
/data1/ftp/nf/action、/data1/ftp/nf/statics",,,,,
MC（A-1）,"a1nf-atdca-s1到a1nf-atdca-s5
NF行为和安全日志采集适配器+压缩服务+解析服务",192.168.13.55,"部署路径：/data/semptian/
启动路径：
sh /data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11-statics/bin/start.sh
sh /data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11-nf-action/bin/start.sh
sh /data/semptian/nf/deye-dataprotocol-file-ferry-v6.2.3.4/bin/start.sh
停止命令：
sh /data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11-statics/bin/stop.sh
sh /data/semptian/deye-dataprotocol-file-analysis-v6.2.3.11-nf-action/bin/stop.sh
sh /data/semptian/nf/deye-dataprotocol-file-ferry-v6.2.3.4/bin/stop.sh
侦听目录：/data/semptian/data/dc_log",,,,,
