Total number of applications (application-types: [], states: [SUBMITTED, ACCEPTED, RUNNING] and tags: []):199
                Application-Id	    Application-Name	    Application-Type	      User	     Queue	             State	       Final-State	       Progress	                       Tracking-URL
application_1750846152056_24355	INTERACTIVE-192.168.13.93-20250704T215039-29769	               SPARK	      root	   default	           RUNNING	         UNDEFINED	            10%	               http://bd-s188:33797
application_1747926338180_10713	dws_pr_email_comparison_task	      TJ_APPLICATION	      hdfs	   default	           RUNNING	         UNDEFINED	           100%	               http://bd-s165:40665
application_1747926338180_10714	dws_pr_http_comparison_task	      TJ_APPLICATION	      hdfs	   default	           RUNNING	         UNDEFINED	           100%	                http://bd-s83:38873
application_1747926338180_10712	dws_pr_im_comparison_task	      TJ_APPLICATION	      hdfs	   default	           RUNNING	         UNDEFINED	           100%	               http://bd-s110:36519
application_1747926338180_12784	ods_mobilenet_radius_mobilis_store_test	      TJ_APPLICATION	      hdfs	   default	           RUNNING	         UNDEFINED	           100%	                http://bd-s38:45261
application_1750846152056_10055	 dwd_fixednet_radius	      TJ_APPLICATION	      hdfs	   default	           RUNNING	         UNDEFINED	           100%	                http://bd-s89:38957
application_1747926338180_10597	INTERACTIVE-192.168.13.93-20250527T021246-30479	               SPARK	      root	   default	           RUNNING	         UNDEFINED	            10%	               http://bd-s166:34903
application_1747926338180_10598	SESSION-192.168.13.91-20250527T021248-3520	               SPARK	      root	   default	           RUNNING	         UNDEFINED	            10%	                http://bd-s80:36613
application_1747926338180_10690	dws_pr_mobilenet_location_ooredoo_comparison_task	      TJ_APPLICATION	      hdfs	   default	           RUNNING	         UNDEFINED	           100%	               http://bd-s127:33659
application_1747926338180_10688	dws_mobilenet_radius_mobilis_comparison_task	      TJ_APPLICATION	      hdfs	   default	           RUNNING	         UNDEFINED	           100%	               http://bd-s176:36865
application_1747926338180_10686	dws_mobilenet_radius_ooredoo_comparison_task	      TJ_APPLICATION	      hdfs	   default	           RUNNING	         UNDEFINED	           100%	                 http://bd-s1:43783
application_1747926338180_10706	dws_pr_others_comparison_task	      TJ_APPLICATION	      hdfs	   default	           RUNNING	         UNDEFINED	           100%	                http://bd-s56:35031
application_1747926338180_10699	dws_nf_target_comparison_task	      TJ_APPLICATION	      hdfs	   default	           RUNNING	         UNDEFINED	           100%	                http://bd-s69:44835
application_1747926338180_10697	dws_mobilenet_radius_djezzy_comparison_task	      TJ_APPLICATION	      hdfs	   default	           RUNNING	         UNDEFINED	           100%	                http://bd-s15:36449
application_1747926338180_10698	dws_fixednet_radius_comparison_task	      TJ_APPLICATION	      hdfs	   default	           RUNNING	         UNDEFINED	           100%	                http://bd-s76:45493
