统计类型,统计日期,统计小时,关联成功数,关联总数,关联率
nf固网关联率,2025-07-25,00-23,210213,419898773,420426933,0.9987437531743476
nf固网关联率,2025-07-25,00-23,220214,524312982,532394547,0.9848203460280746
nf固网关联率,2025-07-25,00-23,230215,314003035,314278102,0.9991247656192095
nf移网关联率,2025-07-25,00-23,210213,232003613,235450280,0.9853613807552066
nf移网关联率,2025-07-25,00-23,220214,345975797,355372226,0.9735589100314216
nf移网关联率,2025-07-25,00-23,230215,193750021,194186414,0.9977527109594804
nf固网关联准确率,2025-07-25,00-23,210213,1491494582,1492309459,0.999453949048513
nf固网关联准确率,2025-07-25,00-23,220214,1195203621,1406727168,0.8496342774834359
nf固网关联准确率,2025-07-25,00-23,230215,961415728,962477958,0.9988963591413488
nf移网关联准确率,2025-07-25,00-23,210213,920954299,921339991,0.9995813792912849
nf移网关联准确率,2025-07-25,00-23,220214,714221772,854549164,0.8357878072887566
nf移网关联准确率,2025-07-25,00-23,230215,684550826,684859220,0.9995496972355866
