A1机房,,,,A2机房,,,
服务器IP,挂载目录,NFS服务端IP及路径,挂载命令,服务器IP,挂载目录,NFS服务端IP及路径,挂载命令
192.168.13.7,/data1/ftpfile,192.168.13.10:/data1/ftpfile,mount -t nfs -o vers=3 192.168.13.10:/data1/ftpfile /data1/ftpfile,,,,
192.168.13.8,/data1/ftpfile,192.168.13.10:/data1/ftpfile,mount -t nfs -o vers=3 192.168.13.10:/data1/ftpfile /data1/ftpfile,,,,
192.168.13.8,/semptian/data/case/fax,192.168.8.55:/data/fsmcmd,mount -t nfs 192.168.8.55:/data/fsmcmd /semptian/data/case/fax,,,,
192.168.13.8,/semptian/data/phone/mass/eta,192.168.8.55:/voice/mass,mount -t nfs 192.168.8.55:/voice/mass /semptian/data/phone/mass/eta,,,,
192.168.13.8,/semptian/data/phone/case/eta,192.168.8.55:/voice/case,mount -t nfs 192.168.8.55:/voice/case /semptian/data/phone/case/eta,,,,
192.168.13.8,/semptian/data/case/call,192.168.8.55:/data/msgdata,mount -t nfs 192.168.8.55:/data/msgdata /semptian/data/case/call,,,,
192.168.13.8,/semptian/data/voip/csv,192.168.8.54:/data/phone/mass4case/csv,mount -t nfs 192.168.8.54:/data/phone/mass4case/csv /semptian/data/voip/csv,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
