序号,任务名称,影响点,是否需要停止,是否需要修改配置,是否需要数据补跑
1,ads_stats_behavior_w,Doris读写,是,是,是
2,ads_stats_behavior_m,Doris读写,是,是,是
3,ads_stats_behavior_h,Doris读写,是,是,是
4,ads_stats_blocking_h,Doris读写,是,是,是
5,ads_stats_blocking_w,Doris读写,是,是,是
6,ads_stats_blocking_m,Doris读写,是,是,是
7,ads_stats_detail_w,Doris读写,是,是,是
8,ads_stats_detail_h,Doris读写,是,是,是
9,ads_stats_detail_m,Doris读写,是,是,是
10,dws_t_app_info,Doris读写,是,是,是
11,dws_e_user_group_info,Doris读写,是,是,是
12,dws_er_user_ip,Doris读写,是,是,是
13,ads_stats_behavior_m_top,Doris读写,是,是,是
14,ads_stats_behavior_w_top,Doris读写,是,是,是
15,ads_stats_behavior_d_top,Doris读写,是,是,是
16,ads_stats_behavior_h_top,Doris读写,是,是,是
17,ads_report_flux_time,Doris读写,是,是,是
18,ads_report_flux_time,Doris读写,是,是,是
19,ads_report_domain_flux_top,Doris读写,是,是,是
20,ads_report_time_top,Doris读写,是,是,是
21,ads_report_flux_top,Doris读写,是,是,是
22,ads_report_domain_flux_time,Doris读写,是,是,是
23,ads_report_domain_flux_time,Doris读写,是,是,是
24,ads_report_domain_time_top,Doris读写,是,是,是
25,ads_base_app_rule,Doris读写,是,是,是
26,ads_base_app_rule,Doris读写,是,是,是
27,ads_base_domain_rule,Doris读写,是,是,是
28,ads_base_domain_rule,Doris读写,是,是,是
29,ads_base_domain_rule,Doris读写,是,是,是
30,ads_archive_app_statistics,Doris读写,是,是,是
31,dws_archive_app_behavior_hour,Doris读写,是,是,是
32,dws_archive_app_block_hour,Doris读写,是,是,是
33,ads_archive_app_ip_daily,Doris读写,是,是,是
34,ads_archive_app_imp_target,Doris读写,是,是,是
35,ads_archive_app_behavior_daily,Doris读写,是,是,是
36,dws_archive_call_behavior_hour,Doris读写,是,是,是
37,ads_archive_call_statistics,Doris读写,是,是,是
38,ads_archive_phone_loc_m_his_1,Doris读写,是,是,是
39,ads_archive_phone_loc_m_his_0,Doris读写,是,是,是
40,ads_archive_phone_loc_m_his_4,Doris读写,是,是,是
41,ads_archive_phone_loc_m_his_3,Doris读写,是,是,是
42,ads_archive_phone_loc_m_his_2,Doris读写,是,是,是
43,dws_archive_call_virtual_hour,Doris读写,是,是,是
44,dws_archive_call_app_hour,Doris读写,是,是,是
45,dws_archive_call_behavior_day,Doris读写,是,是,是
46,ads_archive_tag_stat_phone,Doris读写,是,是,是
47,ads_archive_tag_stat_pr,Doris读写,是,是,是
48,ads_archive_tag_stat_nf4,Doris读写,是,是,是
49,ads_archive_tag_stat_nf4,Doris读写,是,是,是
50,ads_archive_tag_stat_nf4,Doris读写,是,是,是
51,ads_archive_tag_stat_nf4,Doris读写,是,是,是
52,ads_archive_tag_stat_nf1,Doris读写,是,是,是
53,ads_archive_tag_stat_nf2,Doris读写,是,是,是
54,ads_archive_tag_stat_nf3,Doris读写,是,是,是
55,ads_archive_tag_stat_nf3,Doris读写,是,是,是
56,ads_archive_tag_stat_nf3,Doris读写,是,是,是
57,ads_archive_tag_stat_nf3,Doris读写,是,是,是
58,ads_archive_tag_stat_pr_email,Doris读写,是,是,是
59,ads_archive_tag_stat_mobile,Doris读写,是,是,是
60,dws_archive_connection_day,Doris读写,是,是,是
