序号,机房,事项分类,事项,描述,操作步骤,负责人,支撑人员,状态,计划开始时间,计划结束时间,前置依赖,备注
1,A1,停止任务,停止天基任务,"1、涉及到Doris读写的任务；
2、任务列表，见sheet<天基任务>",,@沈涛,@刘浩,未开始,,,,
2,A1,停止任务,停止天算任务,"1、涉及到Doris读写的任务；
2、任务列表，见sheet<天算任务>",,@沈涛,@刘浩,未开始,,,,
3,A1,停止任务,停止调度中心,1、包含两套调度中心，业务系统一套、运维监控一套。,,@周超,@曹洋,未开始,,,,
4,A1,停止任务,停止CBP业务系统,"1、全部业务系统；
2、采用批量停止的方法",,@周超,@曹洋,未开始,,,,
5,A1,Doris集群改造,Doris集群FQDN方式改造,1、修改IP前进行FQDN改造,"0、1分钟后，查看5台fe节点是否还有读写IP访问，命令为：netstat -antp | grep -E ""192.168.13|192.168.16""
1、Doris集群修改IP的操作部署文档
2、验证Doris集群读写是否正常；
3、停止Doris集群",@沈涛,@黄文俊,未开始,,,停止任务,
6,A1,Doris集群IP修改,33台Doris设备修改IP,1、将Doris集群的IP修改为A2机房的IP,"1、使用 批量修改脚本；
2、检查IP修改是否成功；
3、检查修改完成后，再执行netplan apply命令。在网络未调整OK之前，服务器无法登录",@周超,,未开始,,,0,
7,A1,Doris集群IP修改,A1机房网络整改,组网调整,1、与杨勇沟通,@周超,,未开始,,,33台Doris设备修改IP,杨勇执行
8,A1,Doris集群IP修改,33台Doris设备网络、时钟检查,,"1、Doris设备间，ping测试；
2、登录192.168.13.10，ping doris设备测试（5台设备即可）；
3、登录192.168.16.1，ping doris设备测试（5台设备即可）。",@周超,@沈涛,未开始,,,A1机房网络整改,
9,A1,Doris集群IP修改,Doris集群修改IP、恢复、验证,,"1、Doris集群修改IP的操作部署文档
2、验证Doris集群读写是否正常；",@沈涛,@黄文俊,未开始,,,33台Doris设备网络、时钟检查,
10,A1,配置修改,Hadoop集群设备增加Doris hosts配置,"1、全部Hadoop节点；
2、/etc/hosts配置文件中增加33台doris设备","1、修改一个hosts文件，增加doris集群的配置；
2、使用ansible脚本，将该文件复制传输到210台Hadoop节点上。",@周超,@刘浩,未开始,,,停止任务,
11,A1,配置修改,20台应用服务器和2台Dat服务器的hosts中增加doris配置,1、采用了spark、flink读写doris的方式，涉及到域名解析,"1、/etc/hosts增加doris配置
2、2台dat服务器IP为13.84和13.87；
3、若基础库出现doris写入失败的情况，重启dat-doris",@周超,,未开始,,,停止任务,
12,A1,配置修改及恢复,天基任务、恢复、检查,"1、涉及到Doris读写的任务；
2、任务列表，见sheet<天基任务>
3、修改doris连接信息","1、登录13.6，修改天基部署工具的配置文件中的doris连接信息，tianji-tool-1.0/conf/replace-config.json；
2、重新启动任务；
3、检查Doris数据写入是否正常；",@沈涛,@刘浩,未开始,,,Hadoop集群设备增加Doris hosts配置,
13,A1,配置修改及恢复,天算任务、恢复、检查,"1、涉及到Doris读写的任务；
2、任务列表，见sheet<天算任务>
3、修改doris连接信息","1、支持批量操作；
2、刘浩提供操作方法；
3、检查Doris数据写入是否正常；",@沈涛,@刘浩,未开始,,,Hadoop集群设备增加Doris hosts配置,
14,A1,配置修改及恢复,CBP业务系统Doris连接配置修改、恢复、检查,"1、Nacos配置，修改Doris连接信息；
2、配置文件中的Doris配置和Nginx中的doris配置；
3、批量修改。",,@周超,@曹洋,未开始,,,Doris集群修改IP、恢复、验证,注意专题系统、案件系统：
15,A1,配置修改及恢复,运维监控系统Doris连接配置修改、恢复、检查,,,@周超,@曹洋,未开始,,,Doris集群修改IP、恢复、验证,
16,A1,配置修改及恢复,调度中心开启,1、包含两套调度中心，业务系统一套、运维监控一套。,,@周超,@曹洋,未开始,,,CBP业务系统Doris连接配置修改、恢复、检查,
17,A1,CBP业务系统调测,案件系统,,,@周超,@彭霞,未开始,,,配置修改及恢复,
18,A1,CBP业务系统调测,综合搜索,,,@周超,@彭霞,未开始,,,配置修改及恢复,
19,A1,CBP业务系统调测,网管系统,链路监控和设备监控、服务监控是否正常,,@沈涛,@李建华,未开始,,,配置修改及恢复,
20,A1,CBP业务系统调测,全息档案,,,@沈涛,@郭丽君,未开始,,,配置修改及恢复,
21,A1,CBP业务系统调测,线索侦查,,,@周超,@柳铭,未开始,,,配置修改及恢复,
22,A1,CBP业务系统调测,基础库、群组挖掘,,,@周超,@柳铭,未开始,,,配置修改及恢复,
23,A1,CBP业务系统调测,DDoS防护系统、规则中心,,,@沈涛,@鲍林,未开始,,,配置修改及恢复,
24,A1,CBP业务系统调测,安全检测,,,@沈涛,,未开始,,,配置修改及恢复,
25,A1,CBP业务系统调测,统计分析、报表中心,,,@沈涛,,未开始,,,配置修改及恢复,
26,A1,CBP业务系统调测,NF信息中心,,,@沈涛,,未开始,,,配置修改及恢复,
27,A1,CBP业务系统调测,数据恢复应用,,,@周超,,未开始,,,配置修改及恢复,
28,A1,CBP业务系统调测,运维监控系统,"1.需要注意运维监控本地服务配置文件修改；
2.需要注意数据库中相关的搜索和全息服务器地址修改
3.需要注意dataease中doris访问ip修改",,@沈涛,@李建华,未开始,,,配置修改及恢复,
29,A1,网管配置调整,33台Doris设备IP调整,能够正常监控,,@周超,@曹洋,未开始,,,Doris集群IP修改,
