序号,机房,事项分类,事项,描述,操作步骤,负责人,支撑人员,状态,计划开始时间,计划结束时间,前置依赖,备注
1,A1,停止任务,停止天基任务,"1、涉及到Doris读写的任务；
2、任务列表，见sheet<天基任务>",,@沈涛,@刘浩,未开始,,,,
2,A1,停止任务,停止天算任务,"1、涉及到Doris读写的任务；
2、任务列表，见sheet<天算任务>",,@沈涛,@刘浩,未开始,,,,
3,A1,停止任务,停止调度中心,1、包含两套调度中心，业务系统一套、运维监控一套。,,@周超,@曹洋,未开始,,,,
4,A1,停止任务,停止CBP业务系统,"1、全部业务系统；
2、采用批量停止的方法",,@周超,@曹洋,未开始,,,,
5,A1,停止任务,Doris集群停服、关机,,"1、doris集群停服
2、关机",@沈涛,@黄文俊,,,,,
6,A1,机房网络调整,A1机房网络调整，取消A2机房IP段,,,@周超,,未开始,,,,
7,A2,Doris集群恢复,33台Doris设备网络、时钟检查,,"1、Doris设备间，ping测试；
2、登录192.168.13.10，ping doris设备测试（5台设备即可）；
3、登录192.168.16.1，ping doris设备测试（5台设备即可）。",@周超,@沈涛,未开始,,,,
8,A2,Doris集群恢复,Doris集群恢复、验证,,"1、启动
2、验证Doris集群读写是否正常；",@沈涛,@黄文俊,未开始,,,,
9,A1,系统恢复,天基任务、恢复、检查,,,@沈涛,@刘浩,未开始,,,,
10,A1,系统恢复,天算任务、恢复、检查,,,@沈涛,@刘浩,未开始,,,,
11,A1,系统恢复,CBP业务系统恢复、检查,,,@周超,@曹洋,未开始,,,,
12,A1,系统恢复,运维监控系统恢复、检查,,,@周超,@曹洋,未开始,,,,
13,A1,系统恢复,调度中心开启,1、包含两套调度中心，业务系统一套、运维监控一套。,,@周超,@曹洋,未开始,,,,
14,A1,CBP业务系统调测,案件系统,,,@周超,@彭霞,未开始,,,,
15,A1,CBP业务系统调测,综合搜索,,,@周超,@彭霞,未开始,,,,
16,A1,CBP业务系统调测,网管系统,链路监控和设备监控、服务监控是否正常,,@沈涛,@李建华,未开始,,,,
17,A1,CBP业务系统调测,全息档案,,,@沈涛,@郭丽君,未开始,,,,
18,A1,CBP业务系统调测,线索侦查,,,@周超,@柳铭,未开始,,,,
19,A1,CBP业务系统调测,基础库、群组挖掘,,,@周超,@柳铭,未开始,,,,
20,A1,CBP业务系统调测,DDoS防护系统、规则中心,,,@沈涛,@鲍林,未开始,,,,
21,A1,CBP业务系统调测,安全检测,,,@沈涛,,未开始,,,,
22,A1,CBP业务系统调测,统计分析、报表中心,,,@沈涛,,未开始,,,,
23,A1,CBP业务系统调测,NF信息中心,,,@沈涛,,未开始,,,,
24,A1,CBP业务系统调测,数据恢复应用,,,@周超,,未开始,,,,
25,A1,CBP业务系统调测,运维监控系统,,,@沈涛,@李建华,未开始,,,,
26,A1,数据补跑,天算Doris相关数据补跑,"1、在机房搬迁期间，数据未同步写入到Doris中；
2、范围包括批次一和批次二天算任务停止期间的数据",,@沈涛,@刘浩,未开始,,,,
27,,,,,,,,未开始,,,,
