序号,机房,事项分类,事项,描述,操作步骤,负责人,支撑人员,状态,计划开始时间,计划结束时间,前置依赖,备注
1,A1,停止任务,停止天基任务,"1、涉及到Doris读写的任务；
2、任务列表，见sheet<天基任务>",,@沈涛,@刘浩,未开始,,,,
2,A1,停止任务,停止天算任务,"1、涉及到Doris读写的任务；
2、任务列表，见sheet<天算任务>",,@沈涛,@刘浩,未开始,,,,
3,A1,停止任务,停止调度中心,1、包含两套调度中心，业务系统一套、运维监控一套。,,@周超,@曹洋,未开始,,,,
4,A1,停止任务,停止CBP业务系统,"1、全部业务系统；
2、采用批量停止的方法",,@周超,@曹洋,未开始,,,,
,A1,停止任务,取消业务系统的NFS挂载,,,@周超,@曹洋,未开始,,,,注意检查/etc/fstab中是否配置了自动挂载
5,A1,停止任务,Doris集群停服、关机,,"1、doris集群停服；
2、1分钟后，查看5台fe节点是否还有读写IP访问，命令为：netstat -antp | grep -E ""192.168.13|192.168.16""
2、关机",@沈涛,@黄文俊,未开始,,,,
,A1,停止任务,Mysql全备、停止、关闭自启动,,,@周超,@曹洋,未开始,,,,
,A1,停止任务,Oracle全备、停止、关闭自启动,,,@周超,@曹洋,未开始,,,,
,A1,停止任务,NebulaGraph停止、关闭自启动,,,@沈涛,@曹洋,未开始,,,,
,A1,停止任务,redis停止、关闭自启动,,,@沈涛,@曹洋,未开始,,,,
6,A1,机房网络调整,A1机房网络调整，取消A2机房IP段,,1、与杨勇沟通,@周超,,未开始,,,,
,A1,修改IP,20台应用服务器IP修改、关机,,"1、使用 批量修改脚本；
2、检查IP修改是否成功；
3、不需要生效",@周超,@曹洋,未开始,,,,
7,A2,服务器检查,网络、时钟同步检查,,"1、Doris集群间ping测试、与192.168.13、16、15网段进行测试；
2、应用服务器，与全部机房进行ping测试；
3、使用工具检查时钟偏差。",@周超,@沈涛,未开始,,,,
8,A2,基础容器恢复,Doris集群恢复、验证,,"1、启动
2、验证Doris集群读写是否正常；",@沈涛,@黄文俊,未开始,,,,
10,A2,基础容器恢复,Mysql恢复、检查,,"1、启动
2、验证读写是否正常；",@周超,@曹洋,未开始,,,,
11,A2,基础容器恢复,Oracle恢复、检查,,"1、启动
2、验证读写是否正常；",@周超,@曹洋,未开始,,,,
12,A2,基础容器恢复,NubelaGraph恢复、检查,,"1、修改IP和集群配置；
2、启动；
3、验证读写是否正常；",@沈涛,@李建华,未开始,,,,
13,A2,基础容器恢复,Redis恢复、检查,,"1、修改IP和集群配置；
2、启动；
3、验证读写是否正常；",@沈涛,@刘浩,未开始,,,,
14,A2,基础容器恢复,Nacos恢复、检查,,"1、启动
2、验证服务是否正常；",@周超,@曹洋,未开始,,,,
15,A2,配置修改及恢复,AI服务恢复,,包括Nginx，需要修改nginx中的IP配置,@沈涛,@曹洋,未开始,,,,
16,A1,系统恢复,天基任务、恢复、检查,,"1、修改AI服务地址；
2、修改Mysql连接地址；
3、恢复任务，检查是否正常；",@沈涛,@刘浩,未开始,,,,
17,A1,系统恢复,天算任务、恢复、检查,,1、恢复任务，检查是否正常。,@沈涛,@刘浩,未开始,,,,
18,A2,配置修改,案件dataload、nf-rules、nfsystem-web恢复、检查,,"1、修改doris、Oracle数据库IP地址；
2、NF-rules修改IP信息。",@周超,@曹洋,未开始,,,,
19,A2,配置修改,CBP业务系统配置修改,,1、批量修改,@周超,@曹洋,未开始,,,,
20,A2,配置修改,Nginx配置修改,,1、批量修改,@沈涛,,未开始,,,,
21,A2,配置修改,业务系统的NFS挂载恢复、检查,,,@周超,,未开始,,,,
22,A2,系统恢复,CBP业务系统恢复、检查,,1、批量启动,@周超,@曹洋,未开始,,,,
23,A2,系统恢复,运维监控系统恢复、检查,,,@周超,@曹洋,未开始,,,,
24,A2,配置修改及恢复,调度中心恢复、配置修改,1、包含两套调度中心，业务系统一套、运维监控一套,"1、修改调度中心Mysql配置
2、批量修改调度中心中的IP配置",@周超,@曹洋,未开始,,,,
25,A2,配置修改,DDoS检测设备和清洗设备，修改DDoS-Web地址,,,@沈涛,,未开始,,,,
26,A2,配置修改,IAM设备，修改NF信息中心白名单IP,,,@沈涛,,未开始,,,,
27,A2,CBP业务系统调测,案件系统,,,@周超,@彭霞,未开始,,,,
28,A2,CBP业务系统调测,综合搜索,,,@周超,@彭霞,未开始,,,,
29,A2,CBP业务系统调测,网管系统,链路监控和设备监控、服务监控是否正常,,@沈涛,@李建华,未开始,,,,
30,A2,CBP业务系统调测,全息档案,,,@沈涛,@郭丽君,未开始,,,,
31,A2,CBP业务系统调测,线索侦查,,,@周超,@柳铭,未开始,,,,
32,A2,CBP业务系统调测,基础库、群组挖掘,,,@周超,@柳铭,未开始,,,,
33,A2,CBP业务系统调测,DDoS防护系统、规则中心,,,@沈涛,@鲍林,未开始,,,,
34,A2,CBP业务系统调测,安全检测,,,@沈涛,,未开始,,,,
35,A2,CBP业务系统调测,统计分析、报表中心,,,@沈涛,,未开始,,,,
36,A2,CBP业务系统调测,NF信息中心,,,@沈涛,,未开始,,,,
37,A2,CBP业务系统调测,数据恢复应用,,,@周超,,未开始,,,,
38,A2,CBP业务系统调测,运维监控系统,,,@沈涛,@李建华,未开始,,,,
39,A1,数据补跑,天算Doris相关数据补跑,"1、在机房搬迁期间，数据未同步写入到Doris中；
2、范围包括批次一和批次二天算任务停止期间的数据",,@沈涛,@刘浩,未开始,,,,
40,A2,网管配置调整,机房搬迁后网管监控调整,"1、20台应用服务器IP调整；
2、网管agent上报地址变更；",,@周超,@曹洋,未开始,,,,
