,,,,,,,,,,,,,,
A1机房当前信息（CBP应用服务器）,,,,,,A2机房IP信息,,,,,,,,
Classify,IP,IP子网掩码,Idrac IP,Idrac子网掩码,主机名称,IP,IP子网掩码,Idrac IP,Idrac子网掩码,,"1、子网掩码为255.255.252.0，是22位掩码；
2、服务器测配置IP时为：ip/22，如192.168.28.1/22",,,
DE-app_s1,192.168.13.1,255.255.255.0,172.20.23.1,255.255.224.0,nebula-s1,192.168.28.1,255.255.252.0,192.168.30.1,255.255.252.0,,,,,
DE-app_s2,192.168.13.2,255.255.255.0,172.20.23.2,255.255.224.0,nebula-s2,192.168.28.2,255.255.252.0,192.168.30.2,255.255.252.0,,,,,
DE-app_s3,192.168.13.3,255.255.255.0,172.20.23.3,255.255.224.0,nebula-s3,192.168.28.3,255.255.252.0,192.168.30.3,255.255.252.0,,,,,
DE-app_s4,192.168.13.4,255.255.255.0,172.20.23.4,255.255.224.0,mysql-s1,192.168.28.4,255.255.252.0,192.168.30.4,255.255.252.0,,,,,
DE-app_s5,192.168.13.5,255.255.255.0,172.20.23.5,255.255.224.0,oracle-s1,192.168.28.5,255.255.252.0,192.168.30.5,255.255.252.0,,,,,
DE-app_s7,192.168.13.7,255.255.255.0,172.20.23.7,255.255.224.0,app-s2,192.168.28.6,255.255.252.0,192.168.30.6,255.255.252.0,,,,,
DE-app_s8,192.168.13.8,255.255.255.0,172.20.23.8,255.255.224.0,app-s3,192.168.28.7,255.255.252.0,192.168.30.7,255.255.252.0,,,,,
DE-app_s9,192.168.13.9,255.255.255.0,172.20.23.9,255.255.224.0,app-s4,192.168.28.8,255.255.252.0,192.168.30.8,255.255.252.0,,,,,
DE-app_s10,192.168.13.10,255.255.255.0,172.20.23.10,255.255.224.0,app-s5,192.168.28.9,255.255.252.0,192.168.30.9,255.255.252.0,,,,,
DE-app_s11,192.168.13.11,255.255.255.0,172.20.23.11,255.255.224.0,app-s6,192.168.28.10,255.255.252.0,192.168.30.10,255.255.252.0,,,,,
DE-app_s12,192.168.13.12,255.255.255.0,172.20.23.12,255.255.224.0,app-s7,192.168.28.11,255.255.252.0,192.168.30.11,255.255.252.0,,,,,
