序号,问题描述,优先级,问题类型,系统分类,提出人,提出时间,是否需要解决,期望解决时间,问题状态,责任人,问题原因,详细原因分类,问题归类,版本解决时间,版本规划,问题标记,问题标记说明,计划优先,备注,截图,截图1,是否实验室漏测,验证结果,截图2,月份,回归情况截图1,回归情况截图2,预计修复版本,2025/8/14,,,,,,,
1,综合搜索的-email协议的邮件体内容的展示为空，下载下来可以正常展示,高,功能问题,维度服务,周超,2025/7/7,是,2025/7/10,已关闭,@汪凯@程万鹏,,,,,B11-731,影响验收,"1、维度服务问题；
2、email是客户重点关注数据；",1,, ,4ff6d20d566bf65c4cceb7115bfe4ca7 (2).eml,,,,7月,,,,,,,,,,,
2,如图所示，号码213659446400给号码213 654731472发了一个短信，两个号码均在白名单。其号码通话地展示错误,高,功能问题,全系统,周超,2025/7/8,是,2025/7/10,已关闭,@李中华@彭霞,"调整下点码的判断方案
@周超没明白你这个问题，2个213的不都是A国号码吗？ 归属地相同国家会自动隐藏。-zww
A国的点码和韩国的冲突导致的，需要尽快出方案解决，占比大概30%，非YJ还原问题。
7-30：点码问题解决，白名单的遗留",数据问题,,,B11i02,影响验收,1、归属地判断的准确性；,2,, ,,,,,7月,,,,,,,,,,,
3,"综合搜索详情页中源IP地址，目的IP地址 这两个字段展示多余。
孙久增决策：这两个字段隐藏掉，所有协议，全系统修改",高,易用性问题,全系统,周超,2025/7/8,是,2025/7/10,已关闭,@郜业涛@熊凯@李中华@张伟伟,"7-8：孙久增决策：这两个字段隐藏掉，所有协议，全系统修改
0709：搜索已修改
7-11：验证已修正",,,,,,,1,, ,,,,,7月,,,,,,,,,,,
4,"192.168.13.64/65,设备信息中设备角色为空，但服务监控图表中有服务进程 。",高,数据问题,网管系统,郜业涛,2025/7/8,是,2025/7/9,已关闭,@曹洋,,,,,,,,,, ,,,,,7月,,,,,,,,,,,
5,如图所示，短信详情页中，通信地、通信方向，应该是根据短信中点码进行分析出来，需要在页面展示点码信息,高,功能问题,全系统,周超,2025/7/8,是,2025/7/10,已关闭,@郜业涛@熊凯@李中华,"不是问题，OPC/DPC字段即为短信的A/B方点码，已经在页面展示，
同时A/B方点码对应的通信地也已经作为标签在数据下发展示，请确认@周超
7-12：是不是不对啊，所有的通信地都是Corée du Sud （韩国）@李中华
lizh: 当前A国国内运营商的点码93XX/94XX与韩国的点码冲突了，导致显示的是韩国，这部分数据大概有30%
7-14：@李中华@张伟伟 孙久增决策，去掉按照点码判断通信地这个功能，相关页面标签隐藏掉。【应该只是短信把】
7-27：综合搜索系统已经验证生效。案件系统暂未生效。",,,,B11i02,影响验收,点码计算不准确，容易误导用户,2,, ,,,,,7月,,,,,,,,,,,
6,OSS设备详情不应该展示设备指标页签，凡是只监控是否在线的这一个指标的设备，其详情页都不应该展示设备指标页签,中,易用性问题,网管系统,郜业涛,2025/7/8,是,2025/7/17,新建,@李建华,,,,,B11i03,不影响验收,,,, ,,,,,7月,,,,,,,,,,,
7,7-8日前置接入出现数据积压及报错现象,高,稳定性问题,前置接入,周超,2025/7/8,是,2025/7/17,已发布现场,@李思行,初步定位为XY插件包，对json处理出现了死循环导致内存飙升，影响前置服务运行。,,,7.31,B11-731,影响验收,容易导致数据丢失，业务不一致,1,, ,,,,,7月,,,,,,,,,,,
8,相同NF-IAM服务，不同部署IP默认选中的进程不一样。是什么逻辑规则？这样会出现某些IP默认展示的服务指标全是0，业务效果不好。,中,易用性问题,网管系统,郜业涛,2025/7/9,否,2025/7/17,处理中,@李建华@曹洋@胡华伟,"@李建华这是不是bug？，7月15日@张伟伟这个不是bug
@郜业涛确认一下公司的当前效果是否符合你的预期
@周超@李建华未解决，就不符合预期啊；问题描述中已经写清楚了影响的业务效果",非问题,,,B11-807,不影响验收,,,, , ,,,,7月,,,,,,,,,,,
9,综合搜索sms详情页面，b方号码没有国家码，查看ods详情如图所示，b_number没有国家码但是b_number_format正常。 我们搜索结果页面取值字段是否不正确？,高,易用性问题,综合搜索,周超,2025/7/9,是,2025/7/10,已关闭,@郜业涛@熊凯@李中华@彭霞,"@周超取值没有问题，早期定义就是如此。针对0开头的号码治理组已经在做一个处理把国家码打上
6-11：不对啊，治理组既然已经打上了国家码，为什么页面上展示的也是没有打上国家码的数据呢？@李中华@郜业涛@熊凯
治理版本统一修改",需求优化,,7.31,B11i03,不影响验收,,2,, , ,,,,7月,,,,,,,,,,,
10,厂商的产品流量分析系统和清洗系统的英文名称不合适，应分别改为DDoS Probe System，DDoS Mitigation System,高,易用性问题,DDoS系统,孙久增,2025/7/9,是,2025/7/17,已处理,@鲍林@刘炯,需要升级ZXWA系统版本,,,,B11i02,不影响验收,,1,,,,,,,7月,,,,,,,,,,,
